Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,8.150000,8.150000,7.950000,8.050000,6.147228,596000
2000-01-05,7.850000,7.850000,7.450000,7.550000,5.765413,2243000
2000-01-06,7.600000,7.600000,7.000000,7.150000,5.459960,2554338
2000-01-07,7.200000,7.450000,7.100000,7.250000,5.536323,1769000
2000-01-10,7.500000,7.700000,7.400000,7.450000,5.689051,1132218
2000-01-11,7.650000,7.650000,7.300000,7.300000,5.574505,1109000
2000-01-12,7.300000,7.350000,7.250000,7.300000,5.574505,756300
2000-01-13,7.400000,7.400000,7.150000,7.150000,5.459960,1021000
2000-01-14,7.100000,7.250000,6.950000,7.100000,5.440803,1739000
2000-01-17,7.200000,7.200000,6.900000,7.100000,5.440803,967000
2000-01-18,6.950000,7.250000,6.850000,7.200000,5.517433,2112600
2000-01-19,7.100000,7.100000,6.900000,7.000000,5.364173,2136000
2000-01-20,7.000000,7.100000,6.850000,6.850000,5.249225,1018000
2000-01-21,6.850000,6.900000,6.750000,6.800000,5.210910,1868000
2000-01-24,6.900000,6.900000,6.700000,6.700000,5.134279,772000
2000-01-25,6.550000,6.650000,6.400000,6.400000,4.904386,2974600
2000-01-26,6.550000,6.550000,6.250000,6.350000,4.866071,3087875
2000-01-27,6.300000,6.500000,6.250000,6.400000,4.904386,913000
2000-01-28,6.400000,6.500000,6.250000,6.300000,4.827756,4348169
2000-01-31,6.100000,6.200000,6.000000,6.000000,4.597862,2821359
2000-02-01,6.200000,6.200000,6.000000,6.100000,4.674492,1931000
2000-02-02,6.050000,6.200000,6.050000,6.100000,4.674492,931000
2000-02-03,6.150000,6.150000,6.050000,6.100000,4.674492,1097000
2000-02-04,6.100000,6.100000,6.100000,6.100000,4.674492,0
2000-02-07,6.100000,6.100000,6.100000,6.100000,4.674492,0
2000-02-08,6.100000,6.150000,5.750000,5.800000,4.444599,1923000
2000-02-09,5.800000,5.850000,5.700000,5.800000,4.444599,2027000
2000-02-10,5.800000,5.800000,5.450000,5.450000,4.176392,1749781
2000-02-11,5.450000,5.900000,5.350000,5.700000,4.367970,2941000
2000-02-14,5.650000,5.700000,5.400000,5.450000,4.176392,1539185
2000-02-15,5.450000,5.650000,5.400000,5.550000,4.253021,1415000
2000-02-16,5.750000,6.000000,5.650000,6.000000,4.597862,3054200
2000-02-17,6.000000,6.100000,5.800000,5.950000,4.559546,2858800
2000-02-18,5.800000,6.000000,5.800000,5.850000,4.482915,1223406
2000-02-21,5.750000,5.800000,5.600000,5.600000,4.291337,1089000
2000-02-22,5.650000,5.750000,5.450000,5.600000,4.291337,1189735
2000-02-23,5.650000,5.750000,5.600000,5.750000,4.406284,708000
2000-02-24,5.750000,5.850000,5.500000,5.650000,4.329653,921000
2000-02-25,5.600000,5.600000,5.400000,5.500000,4.214708,651050
2000-02-28,5.300000,5.350000,5.000000,5.100000,3.908184,1873000
2000-02-29,5.250000,5.350000,5.100000,5.200000,3.984813,1062690
2000-03-01,5.250000,5.400000,5.100000,5.200000,3.984813,775000
2000-03-02,5.150000,5.150000,4.950000,4.975000,3.812394,1648831
2000-03-03,5.000000,5.300000,4.900000,5.150000,3.946498,1596000
2000-03-06,5.200000,5.300000,5.100000,5.200000,3.984813,1081236
2000-03-07,5.100000,5.150000,5.050000,5.150000,3.946498,717000
2000-03-08,5.100000,5.150000,5.000000,5.100000,3.908184,997000
2000-03-09,5.100000,5.150000,5.000000,5.000000,3.831552,1286000
2000-03-10,5.100000,5.200000,4.975000,5.000000,3.831552,2397666
2000-03-13,5.000000,5.100000,4.950000,4.975000,3.812394,2318000
2000-03-14,4.975000,5.100000,4.925000,4.950000,3.793236,1413000
2000-03-15,4.850000,4.875000,4.825000,4.875000,3.735763,2583000
2000-03-16,4.900000,4.975000,4.875000,4.875000,3.735763,2064304
2000-03-17,5.000000,5.050000,4.900000,5.050000,3.869868,3669000
2000-03-20,5.000000,5.350000,4.925000,5.100000,3.908184,4778000
2000-03-21,5.200000,5.250000,5.000000,5.050000,3.869868,2189000
2000-03-22,5.200000,5.200000,5.100000,5.200000,3.984813,5705000
2000-03-23,5.200000,5.400000,5.100000,5.300000,4.061444,7220724
2000-03-24,5.400000,5.600000,5.400000,5.500000,4.214708,7222033
2000-03-27,5.700000,5.800000,5.600000,5.750000,4.406284,9632800
2000-03-28,5.750000,5.750000,5.550000,5.600000,4.291337,3255800
2000-03-29,5.600000,5.600000,5.450000,5.600000,4.291337,2965000
2000-03-30,5.550000,5.650000,5.450000,5.550000,4.253021,3639000
2000-03-31,5.600000,5.600000,5.450000,5.500000,4.214708,2396000
2000-04-03,5.600000,5.650000,5.400000,5.500000,4.214708,2102000
2000-04-04,5.500000,5.500000,5.500000,5.500000,4.214708,0
2000-04-05,5.450000,5.650000,5.350000,5.450000,4.176392,2692000
2000-04-06,5.500000,5.500000,5.300000,5.350000,4.099760,1168838
2000-04-07,5.450000,5.450000,5.300000,5.300000,4.061444,2394183
2000-04-10,5.300000,5.300000,5.150000,5.150000,3.946498,1256882
2000-04-11,5.000000,5.100000,5.000000,5.000000,3.831552,2098000
2000-04-12,5.050000,5.350000,5.050000,5.300000,4.061444,1563577
2000-04-13,5.100000,5.250000,5.050000,5.250000,4.023129,2220600
2000-04-14,5.150000,5.550000,5.050000,5.550000,4.253021,5360780
2000-04-17,5.000000,5.200000,4.925000,5.050000,3.869868,5009000
2000-04-18,5.200000,5.300000,5.150000,5.200000,3.984813,3762033
2000-04-19,5.300000,5.300000,5.150000,5.250000,4.023129,2080213
2000-04-20,5.150000,5.200000,5.100000,5.150000,3.946498,1444000
2000-04-21,5.150000,5.150000,5.150000,5.150000,3.946498,0
2000-04-24,5.150000,5.150000,5.150000,5.150000,3.946498,0
2000-04-25,5.100000,5.350000,5.100000,5.250000,4.023129,2332000
2000-04-26,5.300000,5.350000,5.250000,5.250000,4.023129,2680000
2000-04-27,5.250000,5.400000,5.200000,5.400000,4.138076,3008000
2000-04-28,5.450000,5.600000,5.400000,5.550000,4.253021,5772000
2000-05-01,5.550000,5.550000,5.550000,5.550000,4.253021,0
2000-05-02,5.650000,5.650000,5.350000,5.400000,4.138076,3459000
2000-05-03,5.400000,5.450000,5.250000,5.400000,4.138076,1914300
2000-05-04,5.400000,5.400000,5.300000,5.350000,4.099760,1189000
2000-05-05,5.300000,5.400000,5.300000,5.300000,4.061444,2345000
2000-05-08,5.400000,5.450000,5.200000,5.300000,4.061444,1430928
2000-05-09,5.300000,5.300000,5.300000,5.300000,4.061444,0
2000-05-10,5.050000,5.050000,4.900000,4.900000,3.754920,1978000
2000-05-11,4.900000,4.900000,4.900000,4.900000,3.754920,0
2000-05-12,4.950000,5.300000,4.875000,5.300000,4.061444,2455000
2000-05-15,5.250000,5.250000,5.100000,5.150000,3.946498,632000
2000-05-16,5.150000,5.150000,5.000000,5.100000,3.908184,728000
2000-05-17,5.100000,5.100000,4.975000,5.000000,3.831552,862000
2000-05-18,4.900000,4.950000,4.900000,4.925000,3.774078,1318000
2000-05-19,4.925000,5.100000,4.925000,5.050000,3.869868,1066000
2000-05-22,4.900000,5.050000,4.850000,5.050000,3.869868,1058000
2000-05-23,5.050000,5.050000,4.975000,4.975000,3.812394,324463
2000-05-24,4.900000,4.925000,4.875000,4.875000,3.735763,821766
2000-05-25,4.950000,4.950000,4.875000,4.925000,3.774078,1196500
2000-05-26,4.900000,4.900000,4.750000,4.750000,3.639974,1898531
2000-05-29,4.725000,4.750000,4.650000,4.725000,3.620816,952000
2000-05-30,4.725000,4.725000,4.725000,4.725000,3.620816,0
2000-05-31,4.900000,4.900000,4.825000,4.850000,3.716604,1049000
