Date,CCL,CCL_kalman,CCL_lastweek,CCL_kalman_lastweek,hkbonds_change,fed_change,HSI_change,DJIA_change,USDI_change,unemployment,nt_sq_price_value,kl_sq_price_value,hk_sq_price_value,pred_CCL
2016-01-31,131.95,130.4114375957674,132.9,130.64816190086117,11.020046516779281,3.1746031746031855,-3.5308817383698843,-2.1301407037843223,0.0,0.033,6721.606741071425,9192.172588235291,10770.793333333333,129.44474317784676
2016-01-24,132.9,130.64816190086117,134.95,131.0573739151832,-3.4641291564204035,0.0,-5.188135825637163,-3.141645948723315,0.0,0.033,6860.491875000006,9695.9375,11532.993833333332,130.07200864478693
2016-01-17,134.95,131.0573739151832,134.41,131.3762922104169,-1.252164365049202,34.75935828877006,-4.889461749133217,-4.294963885485526,0.0,0.033,7163.617714285719,8582.866935483873,11009.848059701497,130.92608032886977
2016-01-10,134.41,131.3762922104169,135.83,131.79995081694676,2.466571465662737,-25.7936507936508,-0.09638906055345897,0.6508974423998781,2.252848923627604,0.033,7004.069696969698,8436.84177419355,12279.707763157898,131.00704214219712
2016-01-03,135.83,131.79995081694676,135.89,132.18901642676758,-1.9142614601018737,30.56994818652845,1.7027366013656398,0.014546566468776057,0.0,0.033,7278.069515151513,8695.061408450707,12046.118269230772,131.86944274975872
2015-12-27,135.89,132.18901642676758,136.86,132.63334337509812,-0.9876024374868675,101.0416666666667,-1.0705094949366445,-0.4152432459895605,0.0,0.033,7087.8421978022025,8683.100705882352,10227.334558823532,131.91144808415646
2015-12-20,136.86,132.63334337509812,137.3,133.07725872273502,0.8583236197944322,11.627906976744185,-2.178802041352901,-1.164494325439236,0.0,0.033,7149.578972972979,8995.69902173913,11870.77662162162,132.42526175368386
2015-12-13,137.3,133.07725872273502,138.22,133.56646158574895,-2.85155445748404,2.3809523809523947,-0.7109238733673751,-0.4226357094739397,0.7898330649599439,0.033,7108.100533333335,9805.001016949149,12408.63339285714,132.78626695925215
2015-12-06,138.22,133.56646158574895,139.82,134.16132893974472,-2.7724952457211627,-2.3255813953488413,0.5285796137014964,0.8761363384852006,0.0,0.032,7292.667134502924,8128.342535211267,13340.062500000005,133.6656415025422
2015-11-29,139.82,134.16132893974472,140.27,134.7424157979376,-5.459878879636637,2.3809523809523947,-0.9288551394617262,0.43467166284321124,0.0,0.032,7039.029864864867,8725.799651162786,13144.958791208792,133.71146875928065
2015-11-22,140.27,134.7424157979376,141.13,135.35003424694887,8.79143504220714,0.0,-1.0049213236964172,-1.6825783522814053,0.0,0.032,6957.333255813957,9296.125344827584,12447.661744186047,134.1033051205839
2015-11-15,141.13,135.35003424694887,142.14,135.99592920957554,6.548206646923327,21.739130434782574,-0.6672042413930712,1.1141096690894248,0.0,0.032,7308.7766359447,9351.936323529417,11408.733684210525,135.34116805646573
2015-11-08,142.14,135.99592920957554,141.76,136.544235993878,-0.25164113785556275,-20.68965517241377,-0.34945527010343813,1.9033802396103416,1.5209204155113287,0.032,7415.226009615384,9554.52087912088,12025.811159420293,136.03239467300904
2015-11-01,141.76,136.544235993878,142.98,137.15643754290292,-0.5873395692843064,-4.395604395604391,1.187789091827396,1.4689497087395198,0.0,0.032,7501.318034682081,9245.067333333334,12605.763888888892,136.74277507411273
2015-10-25,142.98,137.15643754290292,144.33,137.83882211199875,-4.725388601036284,0.0,2.4422245560285827,1.0424642701998277,0.0,0.032,7345.932352941176,9728.823247863249,11830.927758620686,137.06357208851028
2015-10-18,144.33,137.83882211199875,144.61,138.48292988033378,-0.12124438135793225,7.058823529411762,5.882090938036044,4.358714240095463,0.0,0.032,7471.032702702704,9568.918608695649,11778.500550458715,137.87566826985005
2015-10-11,144.61,138.48292988033378,146.45,139.24079680389065,-3.99727458550988,-10.526315789473683,-2.137792325065435,-0.6816070798525531,-0.9378170897947125,0.032,7636.435847953216,9567.388771929824,11627.128888888888,138.86531480137734
2015-10-04,146.45,139.24079680389065,146.01,139.88471672978815,-2.2627949888317067,-3.0612244897959107,-1.4900157917602574,-1.3695045967236474,0.0,0.032,7300.175033333328,9386.742678571429,11443.939999999995,138.81265762097155
2015-09-27,146.01,139.88471672978815,146.67,140.53016627147073,-4.320758223378551,0.0,1.6054728321198253,1.078195459568998,0.0,0.032,7704.543830508472,10025.248920863309,11430.907244094487,140.14930263875544
2015-09-20,146.67,140.53016627147073,146.92,141.137998706347,-3.989579987867098,6.521739130434789,1.1828117075946443,0.5800865272338918,0.0,0.032,7713.902922077921,9909.682777777773,11983.575929203538,140.71196812422806
2015-09-13,146.92,141.137998706347,146.76,141.67279114075856,5.0140528386734,-7.9999999999999964,-1.3046254776077681,0.3621985053114951,0.5358228487227779,0.033,7852.3299596774195,9333.109523809524,12989.810256410256,141.45100030220732
2015-09-06,146.76,141.67279114075856,146.78,142.15861398500869,3.040834057341457,-4.761904761904767,-7.296641820734284,-5.5146145609100365,0.0,0.033,7835.164749262535,9792.10126984127,12373.33516666667,141.8545368609653
2015-08-30,146.78,142.15861398500869,145.45,142.47170682287535,-1.1828674997615418,3.9603960396039195,-4.399199703535106,-1.6613722378146734,0.0,0.033,7670.890045662102,9595.362267441864,11236.905523809517,141.8274814434065
2015-08-23,145.45,142.47170682287535,144.84,142.6969905265628,-0.6162305650360245,3.061224489795933,-1.0749843877099097,-0.201549259204159,0.0,0.033,7703.202752043598,9887.628903225805,11871.712424242422,142.09007781997428
2015-08-16,144.84,142.6969905265628,144.29,142.84852542842796,-1.6503496503496473,22.500000000000007,-0.2855893595942405,-0.8787858556319472,0.0,0.033,7837.355447941894,9904.097716049384,11270.42713375796,142.4773803688367
2015-08-09,144.29,142.84852542842796,146.07,143.15496794569012,-6.470742129589258,-13.043478260869568,-3.2675109557130932,-1.0239828386156224,1.699764212732524,0.033,7662.08868921776,9802.949935483872,11402.071066666666,142.42376172699153
2015-08-02,146.07,143.15496794569012,145.48,143.37613643844284,0.48194882579739584,0.0,0.6131908140366127,-1.2370855609938447,0.0,0.033,7780.965920577616,10374.926972972977,12667.552784810125,142.84488823801598
2015-07-26,145.48,143.37613643844284,143.32,143.3707964641161,4.162102957283675,1.098901098901095,2.4032325217346884,2.269004732190405,0.0,0.033,7595.566567718,10417.255990783411,11796.942075471705,142.49266314448204
2015-07-19,143.32,143.3707964641161,142.62,143.29937700904918,-1.0208690938657838,4.597701149425282,-5.877450091542502,-0.10738780499007783,0.0,0.033,7890.122818181811,10126.673310810811,11508.120426829275,142.98060615965932
2015-07-12,142.62,143.29937700904918,143.15,143.2851675327188,-0.930815358453374,-4.39560439560438,-3.6309370642982453,-1.8731734395098787,1.6933799394688531,0.033,7578.663922651925,10186.268581560284,11573.021279999995,142.38419260359257
2015-07-05,143.15,143.2851675327188,143.56,143.31131094972457,2.391862170087955,-3.1914893617021267,1.490158188394597,0.3384230583808323,0.0,0.033,7685.509649122814,9772.46264864865,12605.339523809529,142.60786650884194
2015-06-28,143.56,143.31131094972457,141.87,143.17420635809324,-4.582021685904147,3.296703296703285,-1.1424168469978624,0.3285828760768439,0.0,0.033,7615.926781857453,9976.499230769228,11935.056894409941,142.35450862703402
2015-06-21,141.87,143.17420635809324,142.26,143.0872425496125,6.728884741017249,2.2471910112359605,-1.7098173970831798,-0.46106278870445827,0.0,0.033,7588.435690721659,9751.710213903738,11524.635783132524,142.22499830690674
2015-06-14,142.26,143.0872425496125,143.31,143.10843233469947,8.222953279658318,21.917808219178102,-1.0636224922009885,-0.6005319842114831,0.8100384607120592,0.033,7304.476778947369,10175.230414746551,11427.266499999994,141.71186673763066
2015-06-07,143.31,143.10843233469947,141.96,142.9991877984702,-4.494567823656814,-17.045454545454565,0.4520477049802407,-1.0805421690854522,0.0,0.033,7413.369033149167,9184.391428571429,11172.138079999999,141.81795487246984
2015-05-31,141.96,142.9991877984702,140.33,142.7452815174102,-1.6899004267425521,-3.296703296703296,0.6567334012251402,0.7225095732888098,0.0,0.033,7385.999409190371,9618.151016949148,11664.805219780219,141.53895198007933
2015-05-24,140.33,142.7452815174102,141.3,142.60779922583802,3.840472673559825,0.0,-0.6533028469751678,0.892595976345123,0.0,0.033,7340.088000000001,9710.633818181826,12507.52704402515,141.32961537142393
2015-05-17,141.3,142.60779922583802,141.37,142.49005367106238,13.712711636656817,5.813953488372081,-2.380410561073787,-0.10269020451275646,0.0,0.033,7369.331572481574,9520.5238961039,11281.546095890406,141.27881887081486
2015-05-10,141.37,142.49005367106238,141.46,142.39206989597497,3.397012851684611,-5.494505494505486,2.1576668099514418,-0.12577240635248677,-0.6892284055991627,0.033,7047.988426229509,9463.824910714286,11857.55756521739,140.58875045806315
2015-05-03,141.46,142.39206989597497,141.22,142.28057683857392,0.6174277726001876,0.0,0.12877600810681233,0.11459358750398607,0.0,0.033,7330.170131233593,10573.863988764051,11622.697006802728,141.01756424131509
2015-04-26,141.22,142.28057683857392,140.04,142.067442141631,-1.7669138515060023,7.058823529411762,3.356029633960622,0.42738458602025187,0.0,0.033,7348.570646067415,10354.612078651684,11063.62880794702,140.8608994698672
