Date,CCL,pred_CCL
2014-08-17,125.31,127.22069431706672
2014-08-10,125.66,126.91214677761393
2014-08-03,124.0,126.33270813577971
2014-07-27,123.54,126.00269607387182
2014-07-20,123.2,125.66660584360086
2014-07-13,123.36,125.30587049311069
2014-07-06,123.35,124.4091009426675
2014-06-29,121.19,124.1231679982887
2014-06-22,121.16,123.38298567711072
2014-06-15,119.89,122.87578004715273
2014-06-08,119.23,122.36192324138331
2014-06-01,118.37,121.72899605581961
2014-05-25,119.07,121.05014196521628
2014-05-18,118.56,120.67899210635349
2014-05-11,118.86,120.31037227505828
2014-05-04,118.12,120.18671960091332
2014-04-27,118.4,119.71038287931084
2014-04-20,118.31,120.04125318355793
2014-04-13,119.04,120.02375663869552
2014-04-06,118.82,118.80397220148309
2014-03-30,117.22,118.7759851121406
2014-03-23,118.42,118.55764056756051
2014-03-16,118.25,118.60311181866292
2014-03-09,117.18,118.47878675481033
2014-03-02,118.02,118.14898818697831
2014-02-23,117.77,117.49739435980376
2014-02-16,117.41,117.95854280710492
2014-02-09,118.08,117.76523164784837
2014-02-02,118.31,117.40288453057944
2014-01-26,117.56,117.79943956891432
2014-01-19,118.2,117.55389954107635
2014-01-12,117.71,117.514745180124
2014-01-05,118.96,117.3571409041698
2013-12-29,119.07,117.0969027539247
2013-12-22,118.95,117.21001083299957
2013-12-15,118.61,117.48279801587563
2013-12-08,118.96,117.17248231643683
2013-12-01,119.53,117.39355139155056
2013-11-24,120.39,117.63992593125282
2013-11-17,120.13,116.31795897891016
2013-11-10,119.93,116.28217837284753
2013-11-03,120.72,115.3298259141549
2013-10-27,119.5,116.31377449841656
2013-10-20,120.08,116.26871714665683
2013-10-13,119.87,117.01905260150217
2013-10-06,119.83,117.50904290956153
2013-09-29,120.0,118.30951891303037
2013-09-22,121.08,118.51927219472677
2013-09-15,120.84,118.57276906417508
2013-09-08,121.94,118.53075891266869
2013-09-01,120.86,118.49973925563873
2013-08-25,119.85,118.67173543980088
2013-08-18,119.79,118.62817199373438
2013-08-11,119.3,117.89484822457366
2013-08-04,120.41,118.08930213671992
2013-07-28,120.95,118.30148423107302
2013-07-21,120.61,118.72706894161401
2013-07-14,120.14,118.74195052850942
2013-07-07,119.69,119.05349358855615
2013-06-30,121.88,119.15233413850369
2013-06-23,121.22,118.90504572679497
2013-06-16,119.96,119.1365345927696
2013-06-09,120.74,118.89808463919245
2013-06-02,120.14,119.15604343725397
2013-05-26,119.06,119.29127183564368
2013-05-19,118.79,118.50479228363844
2013-05-12,118.58,118.60310623672014
2013-05-05,118.51,118.49095335632371
2013-04-28,118.84,118.80358155124081
2013-04-21,118.71,118.86734997321155
2013-04-14,120.12,119.21693621074978
2013-04-07,121.83,119.3661817580297
2013-03-31,123.01,119.41554043345924
2013-03-24,123.45,120.85576886282504
2013-03-17,123.66,120.45154101196164
2013-03-10,122.09,120.69939886445684
2013-03-03,121.95,121.3899786056309
2013-02-24,121.64,121.55280090568718
2013-02-17,121.58,121.43454152244391
2013-02-10,121.73,120.46594342543662
2013-02-03,120.66,119.52575449494411
2013-01-27,119.13,118.81411996572106
2013-01-20,118.38,118.41072594913355
2013-01-13,115.93,117.80780110787964
2013-01-06,115.6,117.21199044050576
2012-12-30,115.78,116.79933326366444
2012-12-23,115.18,116.80649122053957
2012-12-16,114.97,116.36907776214956
2012-12-09,114.57,116.11127866609252
2012-12-02,114.38,116.86736895858984
2012-11-25,115.05,116.24111649269466
2012-11-18,116.17,116.0565092949266
2012-11-11,116.81,116.66060084303064
2012-11-04,116.07,116.99535626937917
2012-10-28,114.35,116.47942016275115
2012-10-21,112.25,116.27862599523081
2012-10-14,111.19,114.75896519480575
2012-10-07,111.11,113.62223710372373
2012-09-30,110.14,112.9025821128179
2012-09-23,109.81,112.36224538872149
2012-09-16,108.17,111.66690140408947
2012-09-09,108.8,111.12257310551855
2012-09-02,107.99,110.4525867604494
2012-08-26,106.89,110.08357996621602
2012-08-19,107.18,109.81920951468418
2012-08-12,106.85,109.18805847815298
2012-08-05,105.78,108.72295515666916
2012-07-29,106.54,108.0767635299755
2012-07-22,104.93,107.79898376910803
