"Date","Price","Open","High","Low","Change %"
"Mar 09, 2017","1.922","1.922","1.922","1.922","2.89%"
"Mar 08, 2017","1.868","1.868","1.868","1.868","-0.59%"
"Mar 07, 2017","1.879","1.879","1.879","1.879","0.00%"
"Mar 06, 2017","1.879","1.879","1.879","1.879","-2.79%"
"Mar 05, 2017","1.933","1.933","1.933","1.933","0.00%"
"Mar 03, 2017","1.933","1.912","1.936","1.912","1.74%"
"Mar 02, 2017","1.900","1.907","1.907","1.900","2.70%"
"Mar 01, 2017","1.850","1.850","1.850","1.850","3.12%"
"Feb 28, 2017","1.794","1.805","1.811","1.791","1.30%"
"Feb 27, 2017","1.771","1.799","1.799","1.771","-1.28%"
"Feb 26, 2017","1.794","1.794","1.794","1.794","0.00%"
"Feb 24, 2017","1.794","1.794","1.794","1.794","-2.76%"
"Feb 23, 2017","1.845","1.872","1.872","1.845","-2.95%"
"Feb 22, 2017","1.901","1.895","1.901","1.895","1.55%"
"Feb 21, 2017","1.872","1.872","1.894","1.872","0.65%"
"Feb 20, 2017","1.860","1.868","1.868","1.860","-1.74%"
"Feb 19, 2017","1.893","1.893","1.893","1.893","0.00%"
"Feb 17, 2017","1.893","1.893","1.893","1.893","0.00%"
"Feb 16, 2017","1.893","1.899","1.899","1.893","2.10%"
"Feb 15, 2017","1.854","1.826","1.854","1.826","2.83%"
"Feb 14, 2017","1.803","1.826","1.826","1.803","1.58%"
"Feb 13, 2017","1.775","1.775","1.775","1.775","0.00%"
"Feb 12, 2017","1.775","1.775","1.775","1.775","0.00%"
"Feb 10, 2017","1.775","1.809","1.809","1.775","-0.62%"
"Feb 09, 2017","1.786","1.792","1.800","1.775","-3.04%"
"Feb 08, 2017","1.842","1.859","1.859","1.831","-0.91%"
"Feb 07, 2017","1.859","1.859","1.859","1.859","-2.36%"
"Feb 06, 2017","1.904","1.915","1.915","1.904","-1.75%"
"Feb 05, 2017","1.938","1.938","1.938","1.938","0.00%"
"Feb 03, 2017","1.938","1.938","1.938","1.938","1.20%"
"Feb 02, 2017","1.915","1.938","1.938","1.915","-1.14%"
"Feb 01, 2017","1.937","1.937","1.937","1.937","0.26%"
"Jan 31, 2017","1.932","1.932","1.932","1.932","0.00%"
"Jan 27, 2017","1.932","1.932","1.932","1.932","-0.26%"
"Jan 26, 2017","1.937","1.880","1.937","1.880","5.56%"
"Jan 25, 2017","1.835","1.830","1.835","1.830","3.38%"
"Jan 24, 2017","1.775","1.791","1.791","1.774","-2.69%"
"Jan 23, 2017","1.824","1.835","1.835","1.824","-2.09%"
"Jan 22, 2017","1.863","1.863","1.863","1.863","0.00%"
"Jan 20, 2017","1.863","1.863","1.863","1.863","2.48%"
"Jan 19, 2017","1.818","1.818","1.818","1.818","3.12%"
"Jan 18, 2017","1.763","1.746","1.763","1.746","0.97%"
"Jan 17, 2017","1.746","1.746","1.746","1.746","-0.29%"
"Jan 16, 2017","1.751","1.776","1.776","1.751","0.63%"
"Jan 15, 2017","1.740","1.740","1.740","1.740","0.00%"
"Jan 13, 2017","1.740","1.740","1.740","1.740","3.94%"
"Jan 12, 2017","1.674","1.729","1.729","1.674","-3.18%"
"Jan 11, 2017","1.729","1.718","1.734","1.718","1.47%"
"Jan 10, 2017","1.704","1.723","1.723","1.701","-1.73%"
"Jan 09, 2017","1.734","1.707","1.734","1.707","2.60%"
"Jan 08, 2017","1.690","1.690","1.690","1.690","0.00%"
"Jan 06, 2017","1.690","1.668","1.690","1.668","-1.92%"
"Jan 05, 2017","1.723","1.778","1.778","1.723","-8.84%"
"Jan 04, 2017","1.890","1.895","1.901","1.890","-1.41%"
"Jan 03, 2017","1.917","1.907","1.917","1.907","0.84%"
"Jan 02, 2017","1.901","1.901","1.901","1.901","0.00%"
"Dec 30, 2016","1.901","1.996","1.996","1.901","-5.14%"
"Dec 29, 2016","2.004","2.058","2.058","2.004","-4.21%"
"Dec 28, 2016","2.092","2.109","2.109","2.092","-0.81%"
"Dec 27, 2016","2.109","2.109","2.109","2.109","0.00%"
"Dec 23, 2016","2.109","2.109","2.109","2.109","1.93%"
"Dec 22, 2016","2.069","2.034","2.069","2.034","1.32%"
