"Date","Price","Open","High","Low","Change %"
"Jan 06, 2014","2.435","2.435","2.435","2.435","0.95%"
"Jan 05, 2014","2.412","2.412","2.412","2.412","0.00%"
"Jan 03, 2014","2.412","2.414","2.414","2.406","-0.21%"
"Jan 02, 2014","2.417","2.396","2.417","2.396","2.89%"
"Jan 01, 2014","2.349","2.349","2.349","2.349","0.00%"
"Dec 31, 2013","2.349","2.376","2.376","2.349","-1.47%"
"Dec 30, 2013","2.384","2.376","2.384","2.352","0.13%"
"Dec 29, 2013","2.381","2.381","2.381","2.381","0.00%"
"Dec 27, 2013","2.381","2.405","2.405","2.378","1.49%"
"Dec 26, 2013","2.346","2.346","2.346","2.346","0.00%"
"Dec 25, 2013","2.346","2.346","2.346","2.346","0.00%"
"Dec 24, 2013","2.346","2.346","2.346","2.346","0.51%"
"Dec 23, 2013","2.334","2.346","2.346","2.334","-1.81%"
"Dec 22, 2013","2.377","2.377","2.377","2.377","0.00%"
"Dec 20, 2013","2.377","2.392","2.392","2.363","1.62%"
"Dec 19, 2013","2.339","2.334","2.363","2.334","2.01%"
"Dec 18, 2013","2.293","2.339","2.339","2.287","-1.97%"
"Dec 17, 2013","2.339","2.322","2.339","2.322","0.73%"
"Dec 16, 2013","2.322","2.328","2.328","2.320","1.04%"
"Dec 15, 2013","2.298","2.298","2.298","2.298","0.00%"
"Dec 13, 2013","2.298","2.274","2.298","2.274","1.06%"
"Dec 12, 2013","2.274","2.258","2.275","2.258","1.79%"
"Dec 11, 2013","2.234","2.252","2.252","2.234","-1.02%"
"Dec 10, 2013","2.257","2.263","2.263","2.257","-1.18%"
"Dec 09, 2013","2.284","2.309","2.315","2.275","3.58%"
"Dec 06, 2013","2.205","2.309","2.315","2.205","-3.29%"
"Dec 05, 2013","2.280","2.280","2.280","2.280","3.40%"
"Dec 04, 2013","2.205","2.205","2.223","2.200","-0.63%"
"Dec 03, 2013","2.219","2.222","2.222","2.219","1.60%"
"Dec 02, 2013","2.184","2.176","2.184","2.176","1.30%"
"Nov 29, 2013","2.156","2.156","2.156","2.156","3.65%"
"Nov 28, 2013","2.080","2.083","2.099","2.080","0.78%"
"Nov 27, 2013","2.064","2.064","2.064","2.064","0.05%"
"Nov 26, 2013","2.063","2.057","2.063","2.057","-1.34%"
"Nov 25, 2013","2.091","2.055","2.091","2.055","1.75%"
"Nov 22, 2013","2.055","2.059","2.059","2.046","-1.30%"
"Nov 21, 2013","2.082","2.095","2.095","2.082","3.22%"
"Nov 20, 2013","2.017","1.972","2.017","1.972","2.96%"
"Nov 19, 2013","1.959","1.972","1.978","1.947","-0.31%"
"Nov 18, 2013","1.965","1.965","1.965","1.965","-0.46%"
"Nov 17, 2013","1.974","1.974","1.974","1.974","0.00%"
"Nov 15, 2013","1.974","1.935","1.974","1.935","-0.15%"
"Nov 14, 2013","1.977","1.964","1.977","1.964","-3.23%"
"Nov 13, 2013","2.043","2.058","2.058","2.035","-0.58%"
"Nov 12, 2013","2.055","1.988","2.055","1.988","5.17%"
"Nov 11, 2013","1.954","1.988","1.988","1.945","5.68%"
"Nov 08, 2013","1.849","1.852","1.852","1.849","-0.27%"
"Nov 07, 2013","1.854","1.852","1.854","1.852","-2.32%"
"Nov 06, 2013","1.898","1.898","1.898","1.898","-1.45%"
"Nov 05, 2013","1.926","1.926","1.926","1.926","-1.23%"
"Nov 04, 2013","1.950","1.906","1.962","1.906","2.31%"
"Nov 03, 2013","1.906","1.906","1.906","1.906","0.00%"
"Nov 01, 2013","1.906","1.901","1.907","1.901","1.38%"
"Oct 31, 2013","1.880","1.895","1.895","1.847","1.79%"
"Oct 30, 2013","1.847","1.885","1.895","1.843","-2.48%"
"Oct 29, 2013","1.894","1.906","1.912","1.894","-1.04%"
"Oct 28, 2013","1.914","1.914","1.914","1.914","0.10%"
"Oct 27, 2013","1.912","1.912","1.912","1.912","0.00%"
"Oct 25, 2013","1.912","1.918","1.918","1.906","-0.26%"
"Oct 24, 2013","1.917","1.911","1.917","1.911","0.31%"
"Oct 23, 2013","1.911","2.020","2.020","1.911","-5.07%"
"Oct 22, 2013","2.013","2.019","2.019","2.013","-0.15%"
"Oct 21, 2013","2.016","2.037","2.037","2.016","-0.54%"
"Oct 18, 2013","2.027","2.055","2.055","2.027","-3.34%"
"Oct 17, 2013","2.097","2.097","2.097","2.097","-4.33%"
"Oct 16, 2013","2.192","2.195","2.201","2.192","0.14%"
"Oct 15, 2013","2.189","2.170","2.189","2.170","1.96%"
"Oct 11, 2013","2.147","2.145","2.152","2.145","-0.46%"
"Oct 10, 2013","2.157","2.144","2.169","2.110","2.23%"
"Oct 09, 2013","2.110","2.101","2.113","2.095","-1.03%"
"Oct 08, 2013","2.132","2.119","2.132","2.119","0.05%"
"Oct 07, 2013","2.131","2.156","2.156","2.125","-0.28%"
"Oct 04, 2013","2.137","2.125","2.137","2.125","0.05%"
"Oct 03, 2013","2.136","2.142","2.142","2.124","-0.56%"
"Oct 02, 2013","2.148","2.160","2.160","2.145","1.08%"
"Sep 30, 2013","2.125","2.136","2.136","2.125","-3.10%"
"Sep 29, 2013","2.193","2.193","2.193","2.193","0.00%"
"Sep 27, 2013","2.193","2.196","2.209","2.193","0.18%"
"Sep 26, 2013","2.189","2.177","2.195","2.177","0.55%"
"Sep 25, 2013","2.177","2.201","2.201","2.177","-1.09%"
"Sep 24, 2013","2.201","2.213","2.213","2.201","-1.92%"
"Sep 23, 2013","2.244","2.195","2.244","2.195","2.28%"
"Sep 22, 2013","2.194","2.194","2.194","2.194","0.00%"
"Sep 19, 2013","2.194","2.176","2.194","2.176","-5.80%"
"Sep 18, 2013","2.329","2.329","2.329","2.329","0.95%"
"Sep 17, 2013","2.307","2.329","2.329","2.307","2.22%"
"Sep 16, 2013","2.257","2.285","2.285","2.257","-6.31%"
"Sep 15, 2013","2.409","2.409","2.409","2.409","0.00%"
"Sep 13, 2013","2.409","2.428","2.428","2.409","0.71%"
"Sep 12, 2013","2.392","2.408","2.408","2.392","-3.78%"
"Sep 11, 2013","2.486","2.527","2.527","2.486","-4.16%"
"Sep 10, 2013","2.594","2.594","2.594","2.594","2.69%"
"Sep 09, 2013","2.526","2.546","2.546","2.526","-2.55%"
"Sep 08, 2013","2.592","2.592","2.592","2.592","0.00%"
"Sep 07, 2013","2.592","2.592","2.592","2.592","0.00%"
"Sep 06, 2013","2.592","2.590","2.593","2.590","1.89%"
"Sep 05, 2013","2.544","2.512","2.544","2.512","3.00%"
"Sep 04, 2013","2.470","2.470","2.470","2.470","0.37%"
"Sep 03, 2013","2.461","2.461","2.461","2.455","0.53%"
"Sep 02, 2013","2.448","2.429","2.448","2.429","2.34%"
"Sep 01, 2013","2.392","2.392","2.392","2.392","0.00%"
"Aug 30, 2013","2.392","2.423","2.423","2.392","-2.25%"
"Aug 29, 2013","2.447","2.447","2.447","2.442","0.49%"
"Aug 28, 2013","2.435","2.409","2.435","2.409","-1.02%"
"Aug 27, 2013","2.460","2.477","2.477","2.460","-2.54%"
"Aug 26, 2013","2.524","2.540","2.540","2.524","-3.74%"
"Aug 23, 2013","2.622","2.648","2.648","2.622","-0.91%"
"Aug 22, 2013","2.646","2.646","2.646","2.646","4.42%"
"Aug 21, 2013","2.534","2.544","2.544","2.534","-1.25%"
"Aug 20, 2013","2.566","2.607","2.607","2.566","-0.62%"
"Aug 19, 2013","2.582","2.537","2.582","2.537","4.37%"
"Aug 16, 2013","2.474","2.468","2.499","2.468","1.73%"
"Aug 15, 2013","2.432","2.417","2.435","2.417","0.37%"
"Aug 14, 2013","2.423","2.448","2.448","2.423","2.89%"
"Aug 13, 2013","2.355","2.329","2.357","2.329","3.02%"
"Aug 12, 2013","2.286","2.290","2.298","2.286","-0.78%"
"Aug 11, 2013","2.304","2.304","2.304","2.304","0.00%"
"Aug 10, 2013","2.304","2.304","2.304","2.304","0.00%"
"Aug 09, 2013","2.304","2.298","2.304","2.292","1.27%"
"Aug 08, 2013","2.275","2.279","2.279","2.263","-1.22%"
"Aug 07, 2013","2.303","2.303","2.315","2.303","-0.52%"
"Aug 06, 2013","2.315","2.296","2.315","2.296","0.83%"
"Aug 05, 2013","2.296","2.315","2.444","2.290","-6.06%"
"Aug 02, 2013","2.444","2.425","2.444","2.339","4.53%"
"Aug 01, 2013","2.338","2.326","2.350","2.326","-0.51%"
"Jul 31, 2013","2.350","2.331","2.352","2.331","0.82%"
"Jul 30, 2013","2.331","2.292","2.337","2.292","1.75%"
"Jul 29, 2013","2.291","2.300","2.300","2.291","-0.91%"
"Jul 26, 2013","2.312","2.324","2.324","2.312","-1.78%"
"Jul 25, 2013","2.354","2.323","2.354","2.323","3.79%"
"Jul 24, 2013","2.268","2.231","2.268","2.231","1.84%"
"Jul 23, 2013","2.227","2.225","2.231","2.225","0.32%"
"Jul 22, 2013","2.220","2.225","2.225","2.219","-1.81%"
"Jul 19, 2013","2.261","2.261","2.262","2.261","1.66%"
"Jul 18, 2013","2.224","2.224","2.284","2.224","-2.63%"
"Jul 17, 2013","2.284","2.278","2.284","2.278","0.26%"
"Jul 16, 2013","2.278","2.314","2.320","2.272","-1.81%"
"Jul 15, 2013","2.320","2.326","2.326","2.296","1.89%"
"Jul 12, 2013","2.277","2.326","2.326","2.277","-3.31%"
"Jul 11, 2013","2.355","2.343","2.398","2.343","-1.79%"
"Jul 10, 2013","2.398","2.503","2.503","2.398","-4.69%"
"Jul 09, 2013","2.516","2.484","2.516","2.484","-0.71%"
"Jul 08, 2013","2.534","2.578","2.578","2.330","8.76%"
"Jul 05, 2013","2.330","2.330","2.330","2.305","1.13%"
"Jul 04, 2013","2.304","2.237","2.304","2.237","6.72%"
"Jul 03, 2013","2.159","2.177","2.177","2.159","2.86%"
"Jul 02, 2013","2.099","2.111","2.111","2.075","1.16%"
"Jun 28, 2013","2.075","2.057","2.081","2.057","-2.17%"
"Jun 27, 2013","2.121","2.139","2.139","2.121","-1.67%"
"Jun 26, 2013","2.157","2.199","2.199","2.157","1.41%"
"Jun 25, 2013","2.127","2.133","2.139","2.127","-3.49%"
"Jun 24, 2013","2.204","2.180","2.228","2.180","10.75%"
"Jun 23, 2013","1.990","1.990","1.990","1.990","0.00%"
"Jun 21, 2013","1.990","1.990","2.025","1.978","3.06%"
"Jun 20, 2013","1.931","1.683","1.960","1.677","15.15%"
"Jun 19, 2013","1.677","1.677","1.683","1.666","-0.65%"
"Jun 18, 2013","1.688","1.666","1.688","1.666","1.69%"
"Jun 17, 2013","1.660","1.660","1.660","1.660","0.36%"
"Jun 16, 2013","1.654","1.654","1.654","1.654","0.00%"
"Jun 14, 2013","1.654","1.660","1.660","1.654","-2.65%"
"Jun 13, 2013","1.699","1.671","1.699","1.671","-0.99%"
"Jun 11, 2013","1.716","1.676","1.716","1.608","6.72%"
"Jun 10, 2013","1.608","1.597","1.608","1.597","6.14%"
"Jun 08, 2013","1.515","1.515","1.515","1.515","0.00%"
"Jun 07, 2013","1.515","1.513","1.515","1.513","-2.13%"
"Jun 06, 2013","1.548","1.563","1.585","1.548","-3.01%"
"Jun 05, 2013","1.596","1.619","1.619","1.596","0.69%"
"Jun 04, 2013","1.585","1.460","1.585","1.460","2.26%"
"Jun 03, 2013","1.550","1.544","1.550","1.532","4.45%"
"May 31, 2013","1.484","1.484","1.502","1.484","-2.30%"
"May 30, 2013","1.519","1.495","1.519","1.495","-3.00%"
"May 29, 2013","1.566","1.471","1.566","1.471","13.81%"
"May 28, 2013","1.376","1.317","1.376","1.282","5.28%"
"May 27, 2013","1.307","1.329","1.329","1.270","0.15%"
"May 25, 2013","1.305","1.305","1.305","1.305","0.00%"
"May 24, 2013","1.305","1.258","1.305","1.258","6.70%"
"May 23, 2013","1.223","1.269","1.269","1.223","7.09%"
"May 22, 2013","1.142","1.084","1.142","1.084","-1.97%"
"May 21, 2013","1.165","1.165","1.165","1.165","0.09%"
"May 20, 2013","1.164","1.118","1.164","1.118","6.79%"
"May 16, 2013","1.090","1.084","1.092","1.084","-0.91%"
"May 15, 2013","1.100","1.141","1.141","1.100","1.57%"
"May 14, 2013","1.083","1.089","1.095","1.065","-0.18%"
"May 13, 2013","1.085","1.015","1.100","1.015","5.14%"
"May 10, 2013","1.032","0.981","1.032","0.981","7.05%"
"May 09, 2013","0.964","0.964","0.964","0.958","-1.63%"
"May 08, 2013","0.980","0.969","0.980","0.969","1.14%"
"May 07, 2013","0.969","0.964","0.969","0.958","1.15%"
"May 06, 2013","0.958","0.930","0.958","0.930","8.99%"
"May 03, 2013","0.879","0.879","0.879","0.879","0.00%"
"May 02, 2013","0.879","0.890","0.890","0.879","-2.44%"
"Apr 30, 2013","0.901","0.907","0.907","0.901","-1.85%"
"Apr 29, 2013","0.918","0.912","0.929","0.912","-2.34%"
"Apr 26, 2013","0.940","0.934","0.940","0.934","0.64%"
"Apr 25, 2013","0.934","0.934","0.951","0.934","-1.79%"
"Apr 24, 2013","0.951","0.973","0.973","0.923","3.03%"
"Apr 23, 2013","0.923","0.928","0.947","0.923","-3.45%"
"Apr 22, 2013","0.956","0.962","0.967","0.945","0.00%"
"Apr 19, 2013","0.956","0.956","0.956","0.956","1.16%"
"Apr 18, 2013","0.945","0.933","0.945","0.933","-1.66%"
"Apr 17, 2013","0.961","0.967","0.967","0.961","1.16%"
"Apr 16, 2013","0.950","0.950","0.961","0.950","-1.14%"
"Apr 15, 2013","0.961","0.983","0.989","0.961","-3.32%"
"Apr 12, 2013","0.994","1.019","1.019","0.994","-2.74%"
"Apr 11, 2013","1.022","1.033","1.033","1.022","1.69%"
"Apr 10, 2013","1.005","1.044","1.044","1.005","-2.71%"
"Apr 09, 2013","1.033","1.067","1.067","1.033","-0.48%"
"Apr 08, 2013","1.038","1.027","1.038","1.027","-4.68%"
"Apr 05, 2013","1.089","1.168","1.168","1.083","-6.76%"
"Apr 03, 2013","1.168","1.145","1.179","1.145","2.01%"
"Apr 02, 2013","1.145","1.145","1.145","1.145","-0.95%"
"Mar 28, 2013","1.156","1.184","1.259","1.156","-5.94%"
"Mar 27, 2013","1.229","1.235","1.235","1.224","-4.06%"
"Mar 26, 2013","1.281","1.263","1.281","1.251","0.08%"
"Mar 25, 2013","1.280","1.269","1.280","1.257","4.66%"
"Mar 22, 2013","1.223","1.223","1.240","1.223","-1.37%"
"Mar 21, 2013","1.240","1.234","1.240","1.194","3.85%"
"Mar 20, 2013","1.194","1.211","1.211","1.182","-4.10%"
"Mar 19, 2013","1.245","1.251","1.251","1.233","2.81%"
"Mar 18, 2013","1.211","1.211","1.216","1.211","-6.56%"
"Mar 17, 2013","1.296","1.296","1.296","1.296","0.00%"
"Mar 15, 2013","1.296","1.285","1.296","1.285","0.93%"
"Mar 14, 2013","1.284","1.295","1.301","1.284","0.94%"
"Mar 13, 2013","1.272","1.307","1.312","1.272","-3.05%"
"Mar 12, 2013","1.312","1.329","1.329","1.312","0.00%"
"Mar 11, 2013","1.312","1.274","1.312","1.266","3.63%"
"Mar 08, 2013","1.266","1.283","1.283","1.266","1.44%"
"Mar 07, 2013","1.248","1.243","1.248","1.243","0.48%"
"Mar 06, 2013","1.242","1.225","1.243","1.225","0.89%"
"Mar 05, 2013","1.231","1.208","1.231","1.208","2.84%"
"Mar 04, 2013","1.197","1.197","1.211","1.197","-1.16%"
"Mar 01, 2013","1.211","1.210","1.211","1.210","-0.16%"
"Feb 28, 2013","1.213","1.207","1.213","1.207","2.88%"
"Feb 27, 2013","1.179","1.264","1.264","1.179","-6.72%"
"Feb 26, 2013","1.264","1.269","1.286","1.258","-6.30%"
"Feb 25, 2013","1.349","1.349","1.349","1.349","0.00%"
"Feb 22, 2013","1.349","1.349","1.378","1.011","-1.17%"
"Feb 21, 2013","1.365","1.377","1.377","1.354","-0.87%"
"Feb 20, 2013","1.377","1.377","1.400","1.377","1.32%"
"Feb 19, 2013","1.359","1.365","1.365","1.354","0.44%"
"Feb 18, 2013","1.353","1.325","1.353","1.308","3.92%"
"Feb 17, 2013","1.302","1.302","1.302","1.302","0.00%"
"Feb 15, 2013","1.302","1.302","1.322","1.273","-2.47%"
"Feb 14, 2013","1.335","1.261","1.375","1.261","5.70%"
"Feb 13, 2013","1.263","1.263","1.263","1.263","0.00%"
"Feb 09, 2013","1.263","1.263","1.263","1.263","0.00%"
"Feb 08, 2013","1.263","1.284","1.289","1.204","-3.22%"
"Feb 07, 2013","1.305","1.303","1.305","1.303","-2.17%"
"Feb 06, 2013","1.334","1.339","1.339","1.334","1.37%"
"Feb 05, 2013","1.316","1.345","1.345","1.299","-4.15%"
"Feb 04, 2013","1.373","1.350","1.373","1.350","6.19%"
"Feb 01, 2013","1.293","1.293","1.327","1.259","2.29%"
"Jan 31, 2013","1.264","1.264","1.270","1.236","0.48%"
"Jan 30, 2013","1.258","1.157","1.270","1.157","9.30%"
"Jan 29, 2013","1.151","1.157","1.157","1.146","0.44%"
"Jan 28, 2013","1.146","1.118","1.151","1.112","10.19%"
"Jan 25, 2013","1.040","1.013","1.051","1.013","2.77%"
"Jan 24, 2013","1.012","0.990","1.018","0.903","1.10%"
"Jan 23, 2013","1.001","1.018","1.045","1.001","-3.66%"
"Jan 22, 2013","1.039","1.051","1.062","1.039","0.00%"
"Jan 21, 2013","1.039","1.045","1.045","1.039","-3.08%"
"Jan 18, 2013","1.072","0.924","1.083","0.924","14.65%"
"Jan 17, 2013","0.935","0.870","0.935","0.870","7.47%"
"Jan 16, 2013","0.870","0.816","0.870","0.816","3.20%"
"Jan 15, 2013","0.843","0.859","0.859","0.843","-1.86%"
"Jan 14, 2013","0.859","0.897","0.897","0.859","-5.29%"
"Jan 13, 2013","0.907","0.907","0.907","0.907","0.00%"
"Jan 11, 2013","0.907","0.891","0.951","0.842","4.98%"
"Jan 10, 2013","0.864","0.853","0.864","0.853","0.70%"
"Jan 09, 2013","0.858","0.810","0.880","0.794","5.28%"
"Jan 08, 2013","0.815","0.821","0.831","0.810","0.99%"
"Jan 07, 2013","0.807","0.804","0.810","0.804","-4.72%"
"Jan 04, 2013","0.847","0.858","0.858","0.804","13.54%"
"Jan 03, 2013","0.746","0.762","0.772","0.735","0.81%"
"Jan 02, 2013","0.740","0.672","0.740","0.672","13.85%"
"Jan 01, 2013","0.650","0.650","0.650","0.650","0.00%"
"Dec 31, 2012","0.650","0.650","0.650","0.650","-2.40%"
"Dec 30, 2012","0.666","0.666","0.666","0.666","0.00%"
"Dec 28, 2012","0.666","0.666","0.666","0.666","-0.75%"
"Dec 27, 2012","0.671","0.671","0.677","0.671","2.44%"
"Dec 24, 2012","0.655","0.661","0.666","0.655","0.00%"
"Dec 23, 2012","0.655","0.655","0.655","0.655","0.00%"
"Dec 22, 2012","0.655","0.655","0.655","0.655","0.00%"
"Dec 21, 2012","0.655","0.677","0.682","0.655","-3.96%"
"Dec 20, 2012","0.682","0.687","0.692","0.682","-3.67%"
"Dec 19, 2012","0.708","0.713","0.724","0.708","1.58%"
"Dec 18, 2012","0.697","0.703","0.703","0.697","3.11%"
"Dec 17, 2012","0.676","0.687","0.687","0.671","-3.70%"
"Dec 14, 2012","0.702","0.682","0.708","0.676","7.18%"
"Dec 13, 2012","0.655","0.655","0.671","0.655","3.31%"
"Dec 12, 2012","0.634","0.634","0.640","0.619","3.43%"
"Dec 11, 2012","0.613","0.624","0.624","0.613","-0.97%"
"Dec 10, 2012","0.619","0.634","0.634","0.619","3.51%"
"Dec 07, 2012","0.598","0.603","0.603","0.598","-1.64%"
"Dec 06, 2012","0.608","0.629","0.629","0.603","-6.46%"
"Dec 05, 2012","0.650","0.645","0.650","0.645","0.00%"
"Dec 04, 2012","0.650","0.634","0.655","0.634","1.72%"
"Dec 03, 2012","0.639","0.626","0.665","0.620","4.24%"
"Nov 30, 2012","0.613","0.614","0.614","0.610","-0.33%"
"Nov 29, 2012","0.615","0.607","0.615","0.607","0.82%"
"Nov 28, 2012","0.610","0.615","0.615","0.610","-4.98%"
"Nov 27, 2012","0.642","0.642","0.642","0.642","-1.68%"
"Nov 26, 2012","0.653","0.669","0.669","0.557","-0.76%"
"Nov 23, 2012","0.658","0.664","0.664","0.658","-1.64%"
"Nov 22, 2012","0.669","0.674","0.674","0.661","5.85%"
"Nov 21, 2012","0.632","0.627","0.632","0.621","6.22%"
"Nov 20, 2012","0.595","0.595","0.600","0.590","2.76%"
"Nov 19, 2012","0.579","0.563","0.579","0.563","3.76%"
"Nov 16, 2012","0.558","0.558","0.558","0.558","-1.06%"
"Nov 15, 2012","0.564","0.558","0.564","0.553","-2.76%"
"Nov 14, 2012","0.580","0.548","0.580","0.548","4.88%"
"Nov 13, 2012","0.553","0.569","0.569","0.548","-1.95%"
"Nov 12, 2012","0.564","0.575","0.590","0.564","-2.76%"
"Nov 09, 2012","0.580","0.585","0.596","0.569","-2.68%"
"Nov 08, 2012","0.596","0.670","0.681","0.596","-13.87%"
"Nov 07, 2012","0.692","0.702","0.702","0.692","3.28%"
"Nov 06, 2012","0.670","0.692","0.702","0.670","-4.56%"
"Nov 05, 2012","0.702","0.713","0.713","0.702","-2.36%"
"Nov 03, 2012","0.719","0.719","0.719","0.719","0.00%"
"Nov 02, 2012","0.719","0.713","0.719","0.713","1.55%"
"Nov 01, 2012","0.708","0.703","0.708","0.697","-2.21%"
"Oct 31, 2012","0.724","0.719","0.740","0.714","2.26%"
"Oct 30, 2012","0.708","0.703","0.708","0.703","-0.84%"
"Oct 29, 2012","0.714","0.708","0.719","0.708","-4.29%"
"Oct 26, 2012","0.746","0.740","0.751","0.740","-0.67%"
"Oct 25, 2012","0.751","0.762","0.762","0.751","0.00%"
"Oct 24, 2012","0.751","0.746","0.751","0.735","-0.79%"
"Oct 22, 2012","0.757","0.751","0.767","0.751","-3.44%"
"Oct 19, 2012","0.784","0.784","0.784","0.784","0.00%"
"Oct 18, 2012","0.784","0.816","0.816","0.784","2.08%"
"Oct 17, 2012","0.768","0.789","0.789","0.768","-2.04%"
"Oct 16, 2012","0.784","0.784","0.784","0.784","1.42%"
"Oct 15, 2012","0.773","0.773","0.773","0.773","0.65%"
"Oct 12, 2012","0.768","0.768","0.768","0.768","0.00%"
"Oct 11, 2012","0.768","0.768","0.768","0.768","-4.00%"
"Oct 10, 2012","0.800","0.800","0.800","0.800","0.63%"
"Oct 09, 2012","0.795","0.795","0.795","0.795","-1.00%"
"Oct 08, 2012","0.803","0.803","0.803","0.803","3.75%"
"Oct 05, 2012","0.774","0.774","0.774","0.774","3.61%"
"Oct 04, 2012","0.747","0.747","0.747","0.747","0.00%"
"Oct 03, 2012","0.747","0.747","0.747","0.747","-4.11%"
"Sep 28, 2012","0.779","0.779","0.779","0.779","-2.01%"
"Sep 27, 2012","0.795","0.795","0.795","0.795","1.92%"
"Sep 26, 2012","0.780","0.780","0.780","0.780","-1.27%"
"Sep 25, 2012","0.790","0.790","0.790","0.790","0.00%"
"Sep 24, 2012","0.790","0.790","0.790","0.790","-1.99%"
"Sep 23, 2012","0.806","0.806","0.806","0.806","0.00%"
"Sep 22, 2012","0.806","0.806","0.806","0.806","0.00%"
"Sep 21, 2012","0.806","0.806","0.806","0.806","4.00%"
"Sep 20, 2012","0.775","0.775","0.775","0.775","-9.25%"
"Sep 19, 2012","0.854","0.854","0.854","0.854","3.14%"
"Sep 18, 2012","0.828","0.828","0.828","0.828","-1.90%"
"Sep 17, 2012","0.844","0.844","0.844","0.844","6.03%"
"Sep 14, 2012","0.796","0.796","0.796","0.796","3.38%"
"Sep 13, 2012","0.770","0.770","0.770","0.770","3.63%"
"Sep 12, 2012","0.743","0.743","0.743","0.743","4.35%"
"Sep 11, 2012","0.712","0.712","0.712","0.712","0.85%"
"Sep 10, 2012","0.706","0.706","0.706","0.706","-6.98%"
"Sep 07, 2012","0.759","0.759","0.759","0.759","3.55%"
"Sep 06, 2012","0.733","0.733","0.733","0.733","2.23%"
"Sep 05, 2012","0.717","0.717","0.717","0.717","1.41%"
"Sep 04, 2012","0.707","0.707","0.707","0.707","2.32%"
"Sep 03, 2012","0.691","0.691","0.691","0.691","-3.63%"
"Aug 31, 2012","0.717","0.717","0.717","0.717","-2.32%"
"Aug 30, 2012","0.734","0.734","0.734","0.734","1.52%"
"Aug 29, 2012","0.723","0.723","0.723","0.723","1.40%"
"Aug 28, 2012","0.713","0.713","0.713","0.713","-3.52%"
"Aug 27, 2012","0.739","0.739","0.739","0.739","2.92%"
"Aug 24, 2012","0.718","0.718","0.718","0.718","-5.53%"
"Aug 23, 2012","0.760","0.760","0.760","0.760","-7.65%"
"Aug 22, 2012","0.823","0.823","0.823","0.823","-2.60%"
"Aug 21, 2012","0.845","0.845","0.845","0.845","-1.17%"
"Aug 20, 2012","0.855","0.855","0.855","0.855","0.00%"
"Aug 17, 2012","0.855","0.855","0.855","0.855","-2.51%"
"Aug 16, 2012","0.877","0.877","0.877","0.877","7.87%"
"Aug 15, 2012","0.813","0.813","0.813","0.813","6.14%"
"Aug 14, 2012","0.766","0.766","0.766","0.766","3.51%"
"Aug 13, 2012","0.740","0.740","0.740","0.740","-0.67%"
"Aug 10, 2012","0.745","0.745","0.745","0.745","-1.46%"
"Aug 09, 2012","0.756","0.756","0.756","0.756","2.86%"
"Aug 08, 2012","0.735","0.735","0.735","0.735","-0.68%"
"Aug 07, 2012","0.740","0.740","0.740","0.740","2.07%"
"Aug 06, 2012","0.725","0.725","0.725","0.725","4.62%"
"Aug 05, 2012","0.693","0.693","0.693","0.693","0.00%"
"Aug 03, 2012","0.693","0.693","0.693","0.693","-0.86%"
"Aug 02, 2012","0.699","0.699","0.699","0.699","1.60%"
"Aug 01, 2012","0.688","0.688","0.688","0.688","0.73%"
"Jul 31, 2012","0.683","0.683","0.683","0.683","-6.44%"
"Jul 30, 2012","0.730","0.730","0.730","0.730","4.43%"
"Jul 27, 2012","0.699","0.699","0.699","0.699","1.45%"
"Jul 26, 2012","0.689","0.689","0.689","0.689","-8.98%"
"Jul 25, 2012","0.757","0.757","0.757","0.757","-5.14%"
"Jul 24, 2012","0.798","0.798","0.798","0.798","-3.27%"
"Jul 23, 2012","0.825","0.825","0.825","0.825","-4.84%"
"Jul 20, 2012","0.867","0.867","0.867","0.867","-2.91%"
"Jul 19, 2012","0.893","0.893","0.893","0.893","-1.22%"
"Jul 18, 2012","0.904","0.904","0.904","0.904","-0.55%"
"Jul 17, 2012","0.909","0.909","0.909","0.909","-1.73%"
"Jul 16, 2012","0.925","0.925","0.925","0.925","1.20%"
"Jul 13, 2012","0.914","0.914","0.914","0.914","-4.99%"
"Jul 12, 2012","0.962","0.962","0.962","0.962","0.52%"
"Jul 11, 2012","0.957","0.957","0.957","0.957","-1.03%"
"Jul 10, 2012","0.967","0.967","0.967","0.967","-0.62%"
"Jul 09, 2012","0.973","0.973","0.973","0.973","0.00%"
"Jul 08, 2012","0.973","0.973","0.973","0.973","0.00%"
"Jul 07, 2012","0.973","0.973","0.973","0.973","0.00%"
"Jul 06, 2012","0.973","0.973","0.973","0.973","-1.22%"
"Jul 05, 2012","0.985","0.985","0.985","0.985","-0.91%"
"Jul 04, 2012","0.994","0.994","0.994","0.994","1.12%"
"Jul 03, 2012","0.983","0.983","0.983","0.983","-1.11%"
"Jul 01, 2012","0.994","0.994","0.994","0.994","0.00%"
"Jun 30, 2012","0.994","0.994","0.994","0.994","-1.09%"
"Jun 29, 2012","1.005","1.005","1.005","1.005","-0.99%"
"Jun 28, 2012","1.015","1.015","1.015","1.015","-0.88%"
"Jun 27, 2012","1.024","1.024","1.024","1.024","0.39%"
"Jun 26, 2012","1.020","1.020","1.020","1.020","-1.54%"
"Jun 25, 2012","1.036","1.036","1.036","1.036","0.00%"
"Jun 23, 2012","1.036","1.036","1.036","1.036","0.00%"
"Jun 22, 2012","1.036","1.036","1.036","1.036","-1.05%"
