Date,nt_sq_price_value,kl_sq_price_value,hk_sq_price_value
2008-06-01 00:00:00,4266.089215686272,4778.665410821642,6012.728021680218
2008-06-08 00:00:00,4776.7730548925965,4701.550152963673,5752.118793103447
2008-06-15 00:00:00,3827.0997897623356,4458.781950718684,5487.746648648645
2008-06-22 00:00:00,3241.915320069202,6152.033340425534,5292.952000000004
2008-06-29 00:00:00,3067.516366095579,4839.385277044858,5271.81603375527
2008-07-06 00:00:00,3110.083203883492,4391.719669902909,5436.48446194226
2008-07-13 00:00:00,3252.8835524798137,4133.9058561643815,5772.1620876288625
2008-07-20 00:00:00,3168.715691489357,3455.9481569343075,5872.334323607429
2008-07-27 00:00:00,3135.7105020352783,3447.2775044247815,7330.608102409645
2008-08-03 00:00:00,3195.2003407407415,3844.047256637168,6560.701972789113
2008-08-10 00:00:00,3162.6136346516046,4307.92730941704,6233.997205882354
2008-08-17 00:00:00,3048.6982344428357,4039.4257936507934,5971.8717050691275
2008-08-24 00:00:00,3079.6397599999973,4304.7060425531945,5766.254941176469
2008-08-31 00:00:00,3058.1105439330513,4011.520289855071,5760.065255813953
2008-09-07 00:00:00,3187.1770833333335,4276.437435897438,5510.596420454546
2008-09-14 00:00:00,3302.8774271844704,4284.609134199134,5655.929594594594
2008-09-21 00:00:00,3375.797075606277,4426.117661870501,5316.907955801104
2008-09-28 00:00:00,3290.583301237963,4261.193883161507,5482.558000000002
2008-10-05 00:00:00,3211.3191403508777,4526.78490825688,5879.333975903616
2008-10-12 00:00:00,3165.2718999999947,4743.319847715736,5441.26097902098
2008-10-19 00:00:00,2968.5760731319547,4334.226570247935,5364.5784374999985
2008-10-26 00:00:00,2984.0937435897417,4240.756940639271,5240.738227848104
2008-11-02 00:00:00,3104.6451326053025,4165.657125748505,5292.25251798561
2008-11-09 00:00:00,2930.32113207547,3987.8789333333348,4807.7704081632655
2008-11-16 00:00:00,2806.5934328358217,4471.185187500001,4752.357054794523
2008-11-23 00:00:00,2713.7654145077718,4307.113167701862,4710.225621621621
2008-11-30 00:00:00,2748.679190476189,3899.823315217392,4830.513225806454
2008-12-07 00:00:00,2736.310909090908,4123.2274257425715,4758.16357142857
2008-12-14 00:00:00,2695.9524511930586,4042.9455154639195,4859.900309278347
2008-12-21 00:00:00,3287.22437001595,3990.448155339804,4635.577512953365
2008-12-28 00:00:00,3705.354851851853,4172.533293413172,4300.634161490682
2009-01-04 00:00:00,3319.5051162790737,4202.021141552507,4431.5652717391295
2009-01-11 00:00:00,2772.5853701015976,4433.909604221638,4494.242724637679
2009-01-18 00:00:00,2740.849134466771,4357.335165165163,4432.993333333332
2009-01-25 00:00:00,2622.4603880983195,4104.807523510973,4984.22494949495
2009-02-01 00:00:00,2643.6069056603783,4694.517500000003,4795.991782178217
2009-02-08 00:00:00,2679.0226415094317,4347.639739583337,4684.082228739
2009-02-15 00:00:00,2654.8233282442757,4075.2258935361215,5043.267531914893
2009-02-22 00:00:00,2544.20765478424,4031.3176439790586,5681.115058139531
2009-03-01 00:00:00,2809.5567887931006,4006.6813586956514,5462.680555555558
2009-03-08 00:00:00,2777.808431372549,4011.9019636363655,5143.6388372093
2009-03-15 00:00:00,2778.534658298467,5261.6317158176935,4856.37768292683
2009-03-22 00:00:00,2840.9048463687172,6718.172943327238,4998.353772241996
2009-03-29 00:00:00,2831.2607894736866,6293.321257035647,5171.6081021897735
2009-04-05 00:00:00,2792.370151515153,4913.200491132334,5215.181148148149
2009-04-12 00:00:00,2803.686967741932,4813.944731977819,5206.708837209305
2009-04-19 00:00:00,2915.070727002969,4916.481887755097,5435.539372937291
2009-04-26 00:00:00,2929.2216105550506,4637.89687915006,5678.253295668548
2009-05-03 00:00:00,3020.428957219251,5072.492167235492,5505.792386634847
2009-05-10 00:00:00,2927.345837104068,5014.321281373847,5490.524916820702
2009-05-17 00:00:00,2744.55170924291,5330.302619775737,5610.315984848479
2009-05-24 00:00:00,3096.516742700726,5237.2943638676825,5500.729903381637
2009-05-31 00:00:00,3206.2431057268755,4980.831806930689,5715.454678362573
2009-06-07 00:00:00,3463.792748091598,4619.770392491466,5811.464615384608
2009-06-14 00:00:00,3442.4763011456644,4589.120736842109,5850.4850501002
2009-06-21 00:00:00,3637.481005121634,4580.22794788273,5854.587845601436
2009-06-28 00:00:00,4163.262518720211,4705.383672566366,6380.94871428572
2009-07-05 00:00:00,3391.5094138543545,4646.370245901638,6260.7486785009805
2009-07-12 00:00:00,3518.0253229813666,4934.978352553546,5924.019634369278
2009-07-19 00:00:00,3418.0421993911687,4799.180715596331,6712.289855907778
2009-07-26 00:00:00,3376.912609060397,5120.647368421049,6134.502950450447
2009-08-02 00:00:00,3389.403640553,5359.306105263159,6246.917149643707
2009-08-09 00:00:00,3313.387121354662,5396.7804468085105,6176.589638554213
2009-08-16 00:00:00,3895.369409761633,4964.323408071751,5925.540024213078
2009-08-23 00:00:00,3694.681918052268,5411.870096153844,6188.786798245616
2009-08-30 00:00:00,3512.928024224074,5192.286689774691,6419.799858585859
2009-09-06 00:00:00,3297.6811620294557,6499.530813253017,6290.7489696969715
2009-09-13 00:00:00,3282.276702208685,8696.459883843712,6290.682354166666
2009-09-20 00:00:00,3323.452720125785,7444.596390041491,6296.923846153847
2009-09-27 00:00:00,3298.2917304747307,7152.95819571866,6289.668407079648
2009-10-04 00:00:00,3319.6559847036315,6293.412947845804,6250.9046408839795
2009-10-11 00:00:00,3409.294770346496,5349.047272727275,6095.879524999993
2009-10-18 00:00:00,3362.7549032258094,6086.906075533661,6082.926658536587
