Date,neg,neutral,pos
2011-01-02,0.15088817506742913,0.8941327298363017,0.8491118249325709
2011-01-09,0.3260663309812217,0.7316737262800729,0.6739336690187783
2011-01-16,0.2944179922582849,0.8322556704220253,0.7055820077417151
2011-01-23,0.2747551997421718,0.547476673320057,0.7252448002578282
2011-01-30,0.4263571716570961,0.8696726211606111,0.5736428283429039
2011-02-06,0.5354923014356584,0.8509043442120531,0.4645076985643416
2011-02-13,0.1757272108583725,0.912645073126443,0.8242727891416275
2011-02-20,0.13586702175392973,0.8717724113866699,0.8641329782460703
2011-02-27,0.3315107243053863,0.8813756241023829,0.6684892756946137
2011-03-06,0.2305231056589071,0.8616638650105757,0.7694768943410929
2011-03-13,0.0,1.0,0.0
2011-03-20,0.3810513488565701,0.917294887361932,0.6189486511434299
2011-03-27,0.4598687762610098,0.8531473256983503,0.5401312237389901
